Chip Run Info;\\pnas1.stockage.inra.fr\vdl-isp\Ibir\Fluidigm\2023_03_28_CGitton\ChipRun.bml;1362900136;96.96 (136x);GE 96x96 Fast PCR+Melt v2;ROX;EvaGreen;28/03/2023 18:35;00:30:37;BIOMARKHD434;SamplePlateName: Undefined;SamplePlateBarCode: Undefined;ReagentPlateName: Undefined;ReagentPlateBarCode: Undefined;;;;;;;;;;;
Application Version;4.7.1;;;;;;;;;;;;;;;;;;;;;;;
Application Build;20200930.1707;;;;;;;;;;;;;;;;;;;;;;;
Export Type;Table Results;;;;;;;;;;;;;;;;;;;;;;;
Quality Threshold;0,65;;;;;;;;;;;;;;;;;;;;;;;
Baseline Correction Method;Linear (Derivative);;;;;;;;;;;;;;;;;;;;;;;
Ct Threshold Method;Auto (Global);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen
Chamber;Sample;Sample;Sample;Sample;EvaGreen;EvaGreen;EvaGreen;Ct;Ct;Ct;Ct;Delta Ct Sample;Delta Ct Sample;Delta Ct Sample;Delta Ct Reagent;Delta Ct Reagent;Delta Ct Reagent;Delta Delta Ct;Delta Delta Ct;Delta Delta Ct;Delta Delta Ct;Tm;Tm;Tm
ID;Name;Type;rConc;Reference;Name;Type;Reference;Value;Quality;Call;Threshold;Value;Quality;Call;Value;Quality;Call;Value;Fold Change;Quality;Call;In Range;Out Range;Peak Ratio
S28-A80;ADNc-406;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;11,14029526;1;Pass;0,015433382;999;0;Flag;1,713285721;1;Pass;999;-1;0;Flag;81,95258124;999;1
S69-A80;ADNc-308;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;14,04436869;1;Pass;0,015433382;999;0;Flag;2,566006464;1;Pass;999;-1;0;Flag;81,92010824;999;1
S27-A80;ADNc-398;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;14,98133414;1;Pass;0,015433382;999;0;Flag;7,301640796;1;Pass;999;-1;0;Flag;81,92804924;999;1
S68-A80;ADNc-363;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;15,22965938;1;Pass;0,015433382;999;0;Flag;10,07062679;0,819856806;Pass;999;-1;0;Flag;81,92270689;999;1
S26-A80;ADNc-390;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;18,57473539;1;Pass;0,015433382;999;0;Flag;8,62795218;1;Pass;999;-1;0;Flag;82,0392788;999;1
S67-A80;ADNc-351;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;11,01555325;1;Pass;0,015433382;999;0;Flag;3,495702011;1;Pass;999;-1;0;Flag;81,69961309;999;1
S25-A80;ADNc-382;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;11,43002293;1;Pass;0,015433382;999;0;Flag;3,554916038;1;Pass;999;-1;0;Flag;81,91110281;999;1
S66-A80;ADNc-343;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;12,99385426;1;Pass;0,015433382;999;0;Flag;8,521006312;0,7801451;Pass;999;-1;0;Flag;81,97533996;999;1
S36-A80;ADNc-ANSES-13;Unknown;1;ADNc-ANSES-2;ABCG2;Test;ACTB,GAPDH,PPIA;18,48911591;0,953567658;Pass;0,015433382;0,270397562;0,851070457;Pass;11,92733399;0,952590644;Pass;-0,671347983;1,592560282;0,851070457;Pass;81,93749505;999;1
S65-A80;ADNc-417;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;14,81720185;1;Pass;0,015433382;999;0;Flag;5,964030117;1;Pass;999;-1;0;Flag;81,95788795;999;1
